model_key,valid_fold,max_slice_length,padding,sensitivity,precision,mcc,micro_auprc,valid_mcc,train_bce,valid_bce,lr,finished_at
esm-t33,3,350,75,0.6252,0.7686,0.6784,0.6947,0.6894,0.0011,0.1686,0.0003,2024-06-04 07:30:18
esm-t33,3,350,100,0.6459,0.75,0.6808,0.6924,0.7066,0.0015,0.1492,0.0003,2024-06-04 07:36:29
esm-t33,3,350,125,0.6013,0.7887,0.6742,0.6923,0.7017,0.0016,0.1617,0.0003,2024-06-04 07:42:48
esm-t33,4,650,50,0.6146,0.7388,0.6597,0.6818,0.6406,0.0022,0.1504,0.0003,2024-06-04 07:49:21
esm-t33,4,650,75,0.6503,0.7164,0.668,0.669,0.6389,0.0008,0.1794,0.0003,2024-06-04 07:55:53
esm-t33,4,650,100,0.567,0.756,0.6406,0.6646,0.6403,0.0014,0.1627,0.0003,2024-06-04 08:02:29
esm-t33,4,650,125,0.5759,0.7316,0.6343,0.6437,0.6352,0.001,0.1831,0.0003,2024-06-04 08:09:10
esm-t33,4,550,50,0.6156,0.7482,0.6646,0.6811,0.6406,0.0013,0.1602,0.0003,2024-06-04 08:15:27
esm-t33,4,550,75,0.6186,0.7266,0.6557,0.6806,0.6374,0.0008,0.1752,0.0003,2024-06-04 08:21:47
esm-t33,4,550,100,0.5601,0.7691,0.6424,0.6713,0.6325,0.0012,0.1616,0.0003,2024-06-04 08:28:09
esm-t33,4,550,125,0.6186,0.7384,0.6615,0.6735,0.6416,0.0013,0.1683,0.0003,2024-06-04 08:34:38
esm-t33,4,450,50,0.6529,0.7105,0.6656,0.6768,0.6417,0.0015,0.1661,0.0003,2024-06-04 08:40:37
esm-t33,4,450,75,0.6254,0.7423,0.6666,0.6838,0.637,0.0009,0.1774,0.0003,2024-06-04 08:46:43
esm-t33,4,450,100,0.6223,0.7495,0.6685,0.6832,0.6371,0.0011,0.1706,0.0003,2024-06-04 08:52:56
esm-t33,4,450,125,0.604,0.7342,0.6507,0.6564,0.6249,0.0013,0.182,0.0003,2024-06-04 08:59:13
esm-t33,4,350,50,0.5821,0.7799,0.6589,0.7044,0.6425,0.0015,0.1565,0.0003,2024-06-04 09:05:09
esm-t33,4,350,75,0.6093,0.7655,0.6678,0.6875,0.6476,0.0009,0.1714,0.0003,2024-06-04 09:11:11
esm-t33,4,350,100,0.6172,0.7428,0.6613,0.6708,0.6494,0.0013,0.162,0.0003,2024-06-04 09:17:20
esm-t33,4,350,125,0.6172,0.7603,0.6698,0.6917,0.6422,0.0009,0.1799,0.0003,2024-06-04 09:23:40
esm-33-gearnet,0,650,50,0.6324,0.7143,0.6573,0.6841,0.688,0.0005,0.1651,0.0003,2024-06-04 09:35:09
esm-33-gearnet,0,650,75,0.5908,0.7379,0.6459,0.6431,0.6798,0.0006,0.1732,0.0003,2024-06-04 09:46:41
esm-33-gearnet,0,650,100,0.6518,0.6636,0.6413,0.6566,0.6857,0.0005,0.1561,0.0003,2024-06-04 09:58:15
esm-33-gearnet,0,650,125,0.6265,0.7309,0.6624,0.6511,0.6869,0.0009,0.1699,0.0003,2024-06-04 10:09:54
esm-33-gearnet,0,550,50,0.6096,0.7289,0.6518,0.6498,0.6766,0.0007,0.1609,0.0003,2024-06-04 10:21:04
esm-33-gearnet,0,550,75,0.6111,0.7373,0.6568,0.6664,0.6732,0.0009,0.1737,0.0003,2024-06-04 10:32:17
esm-33-gearnet,0,550,100,0.6306,0.7254,0.6617,0.6788,0.6717,0.0006,0.1726,0.0003,2024-06-04 10:43:41
esm-33-gearnet,0,550,125,0.6517,0.7103,0.6654,0.6836,0.6836,0.0005,0.1709,0.0003,2024-06-04 10:55:11
esm-33-gearnet,0,450,50,0.6162,0.7647,0.6724,0.6803,0.6944,0.0008,0.1663,0.0003,2024-06-04 11:06:00
esm-33-gearnet,0,450,75,0.6361,0.716,0.6594,0.6721,0.6773,0.0007,0.1798,0.0003,2024-06-04 11:16:59
esm-33-gearnet,0,450,100,0.6468,0.746,0.6803,0.6867,0.676,0.0006,0.1837,0.0003,2024-06-04 11:28:06
esm-33-gearnet,0,450,125,0.5566,0.7728,0.6415,0.637,0.6351,0.0052,0.2357,0.0003,2024-06-04 11:39:30
esm-33-gearnet,0,350,50,0.5885,0.7736,0.6597,0.674,0.6733,0.0008,0.1823,0.0003,2024-06-04 11:50:15
esm-33-gearnet,0,350,75,0.6491,0.7468,0.6809,0.703,0.6774,0.0006,0.1643,0.0003,2024-06-04 12:01:17
esm-33-gearnet,0,350,100,0.6635,0.7148,0.6723,0.6918,0.6759,0.0007,0.183,0.0003,2024-06-04 12:12:36
esm-33-gearnet,0,350,125,0.6619,0.7255,0.677,0.6983,0.6889,0.0007,0.1623,0.0003,2024-06-04 12:24:22
esm-33-gearnet,1,650,50,0.6116,0.7639,0.6701,0.6845,0.6127,0.0001,0.2132,0.0003,2024-06-04 12:35:52
esm-33-gearnet,1,650,75,0.6503,0.7382,0.679,0.6915,0.5925,0.0007,0.2066,0.0003,2024-06-04 12:47:23
esm-33-gearnet,1,650,100,0.6414,0.738,0.6741,0.6883,0.599,0.0005,0.2086,0.0003,2024-06-04 12:59:01
esm-33-gearnet,1,650,125,0.6205,0.7568,0.6718,0.6918,0.6133,0.0003,0.2089,0.0003,2024-06-04 13:10:42
esm-33-gearnet,1,550,50,0.6141,0.7616,0.6702,0.6693,0.5989,0.0012,0.2074,0.0003,2024-06-04 13:21:54
esm-33-gearnet,1,550,75,0.6622,0.7449,0.6887,0.7034,0.6106,0.0004,0.2136,0.0003,2024-06-04 13:33:08
esm-33-gearnet,1,550,100,0.5991,0.7885,0.6743,0.6849,0.6044,0.0009,0.1965,0.0003,2024-06-04 13:44:32
esm-33-gearnet,1,550,125,0.6321,0.7412,0.6704,0.6725,0.6128,0.0012,0.1801,0.0003,2024-06-04 13:56:04
esm-33-gearnet,1,450,50,0.6223,0.7593,0.6732,0.6908,0.5859,0.0007,0.2236,0.0003,2024-06-04 14:06:52
esm-33-gearnet,1,450,75,0.6621,0.7339,0.6825,0.7125,0.612,0.0009,0.2097,0.0003,2024-06-04 14:17:53
esm-33-gearnet,1,450,100,0.656,0.7321,0.6783,0.6939,0.6118,0.0005,0.2119,0.0003,2024-06-04 14:29:04
esm-33-gearnet,1,450,125,0.5948,0.7939,0.6738,0.6998,0.5962,0.0034,0.2342,0.0003,2024-06-04 14:40:28
esm-33-gearnet,1,350,50,0.63,0.7467,0.6703,0.7004,0.602,0.0008,0.2098,0.0003,2024-06-04 14:51:12
esm-33-gearnet,1,350,75,0.6587,0.7634,0.6945,0.6945,0.5916,0.0005,0.2354,0.0003,2024-06-04 15:02:13
esm-33-gearnet,1,350,100,0.6061,0.7379,0.6526,0.695,0.6118,0.0008,0.2254,0.0003,2024-06-04 15:13:35
esm-33-gearnet,1,350,125,0.6507,0.7418,0.6793,0.7037,0.6005,0.0013,0.2025,0.0003,2024-06-04 15:25:23
esm-33-gearnet,2,650,50,0.628,0.7687,0.6817,0.6784,0.607,0.0007,0.1999,0.0003,2024-06-04 15:36:45
esm-33-gearnet,2,650,75,0.6116,0.8012,0.6877,0.7039,0.6146,0.0003,0.181,0.0003,2024-06-04 15:48:15
esm-33-gearnet,2,650,100,0.6562,0.7265,0.6764,0.7153,0.6115,0.0008,0.1837,0.0003,2024-06-04 15:59:46
esm-33-gearnet,2,650,125,0.6548,0.719,0.6717,0.6997,0.6172,0.001,0.1873,0.0003,2024-06-04 16:11:23
esm-33-gearnet,2,550,50,0.6517,0.7343,0.6776,0.686,0.6039,0.0016,0.1804,0.0003,2024-06-04 16:22:27
esm-33-gearnet,2,550,75,0.6456,0.7544,0.6843,0.7169,0.6076,0.0006,0.1868,0.0003,2024-06-04 16:33:39
esm-33-gearnet,2,550,100,0.6426,0.7911,0.7006,0.71,0.6047,0.0008,0.1936,0.0003,2024-06-04 16:44:58
esm-33-gearnet,2,550,125,0.6502,0.7504,0.6849,0.6993,0.6086,0.0009,0.1783,0.0003,2024-06-04 16:56:24
esm-33-gearnet,2,450,50,0.6483,0.7667,0.6914,0.6988,0.603,0.0004,0.1855,0.0003,2024-06-04 17:07:12
esm-33-gearnet,2,450,75,0.6789,0.7315,0.6903,0.7103,0.6163,0.0006,0.1872,0.0003,2024-06-04 17:18:11
