model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-pretrained,2,0.5906,0.6882,0.6102,0.6207,0.9411,0.7322,-3.0,0.0003,0.003,10,30,empty,15,2024-09-29 01:52:36
esm-t33-pretrained,3,0.5979,0.6464,0.5085,0.75,0.9285,0.9207,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1.pt,0,2024-09-29 01:52:43
esm-t33-pretrained,3,0.6154,0.6832,0.6102,0.6667,0.8928,0.9271,-1.2,0.0003,0.003,3,30,weight/atpbind3d_esm-t33_1.pt,1,2024-09-29 01:52:51
esm-t33-pretrained,3,0.5762,0.6929,0.4915,0.725,0.9418,0.9421,-1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,2,2024-09-29 01:52:58
esm-t33-pretrained,3,0.5663,0.6271,0.5085,0.6818,0.9252,0.9406,0.6,0.0003,0.003,3,30,empty,3,2024-09-29 01:53:04
esm-t33-pretrained,3,0.639,0.6483,0.661,0.661,0.9257,0.9226,-0.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1.pt,4,2024-09-29 01:53:12
esm-t33-pretrained,3,0.5948,0.6725,0.5254,0.7209,0.9089,0.9117,0.8,0.0003,0.003,4,30,weight/atpbind3d_esm-t33_1.pt,5,2024-09-29 01:53:20
esm-t33-pretrained,3,0.6248,0.7059,0.5085,0.8108,0.9475,0.9333,-1.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,6,2024-09-29 01:53:28
esm-t33-pretrained,3,0.5337,0.6436,0.3729,0.8148,0.9269,0.8973,0.2,0.0003,0.003,4,30,empty,7,2024-09-29 01:53:34
esm-t33-pretrained,3,0.5456,0.6681,0.4915,0.6591,0.922,0.9333,-1.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1.pt,8,2024-09-29 01:53:44
esm-t33-pretrained,3,0.5574,0.6392,0.3729,0.88,0.9098,0.938,0.8,0.0003,0.003,6,30,weight/atpbind3d_esm-t33_1.pt,9,2024-09-29 01:53:54
esm-t33-pretrained,3,0.6657,0.708,0.6102,0.766,0.9496,0.9139,-3.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,10,2024-09-29 01:54:04
esm-t33-pretrained,3,0.6155,0.6432,0.661,0.619,0.9291,0.9333,-2.0,0.0003,0.003,6,30,empty,11,2024-09-29 01:54:13
esm-t33-pretrained,3,0.4551,0.6393,0.322,0.7037,0.9332,0.9117,0.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1.pt,12,2024-09-29 01:54:28
esm-t33-pretrained,3,0.5713,0.5892,0.5593,0.6346,0.8995,0.9421,-1.8,0.0003,0.003,10,30,weight/atpbind3d_esm-t33_1.pt,13,2024-09-29 01:54:42
esm-t33-pretrained,3,0.5631,0.6885,0.4068,0.8276,0.9365,0.949,1.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,14,2024-09-29 01:54:56
esm-t33-pretrained,3,0.6157,0.6344,0.5424,0.7442,0.9302,0.9314,-0.8,0.0003,0.003,10,30,empty,15,2024-09-29 01:55:09
esm-t33-pretrained,4,0.5663,0.6357,0.5085,0.6818,0.9326,0.7893,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1.pt,0,2024-09-29 01:55:16
esm-t33-pretrained,4,0.6,0.6688,0.5424,0.7111,0.8989,0.7842,-0.2,0.0003,0.003,3,30,weight/atpbind3d_esm-t33_1.pt,1,2024-09-29 01:55:24
esm-t33-pretrained,4,0.4931,0.6878,0.2881,0.8947,0.9431,0.8271,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,2,2024-09-29 01:55:31
esm-t33-pretrained,4,0.584,0.6323,0.5763,0.6415,0.922,0.8428,-0.6,0.0003,0.003,3,30,empty,3,2024-09-29 01:55:36
esm-t33-pretrained,4,0.4066,0.6265,0.2542,0.7143,0.9241,0.7725,1.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1.pt,4,2024-09-29 01:55:44
esm-t33-pretrained,4,0.5252,0.6636,0.322,0.9048,0.9038,0.7452,1.8,0.0003,0.003,4,30,weight/atpbind3d_esm-t33_1.pt,5,2024-09-29 01:55:52
esm-t33-pretrained,4,0.4309,0.5918,0.2542,0.7895,0.9308,0.7928,-0.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,6,2024-09-29 01:56:00
esm-t33-pretrained,4,0.4826,0.5782,0.3898,0.6571,0.8599,0.8176,-1.8,0.0003,0.003,4,30,empty,7,2024-09-29 01:56:06
esm-t33-pretrained,4,0.5347,0.5968,0.4407,0.7027,0.9132,0.7565,-1.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1.pt,8,2024-09-29 01:56:16
esm-t33-pretrained,4,0.4763,0.5828,0.2712,0.8889,0.8894,0.7597,2.6,0.0003,0.003,6,30,weight/atpbind3d_esm-t33_1.pt,9,2024-09-29 01:56:26
esm-t33-pretrained,4,0.5467,0.6304,0.678,0.4938,0.9377,0.7361,-4.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,10,2024-09-29 01:56:35
esm-t33-pretrained,4,0.5253,0.5868,0.4576,0.6585,0.9204,0.7376,1.0,0.0003,0.003,6,30,empty,11,2024-09-29 01:56:44
esm-t33-pretrained,4,0.5453,0.6565,0.3729,0.8462,0.9352,0.7136,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1.pt,12,2024-09-29 01:56:58
esm-t33-pretrained,4,0.5404,0.5698,0.5932,0.5469,0.8865,0.7424,-3.0,0.0003,0.003,10,30,weight/atpbind3d_esm-t33_1.pt,13,2024-09-29 01:57:12
esm-t33-pretrained,4,0.4519,0.6214,0.3729,0.6111,0.9328,0.7424,-2.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,14,2024-09-29 01:57:26
esm-t33-pretrained,4,0.4276,0.4679,0.5593,0.3929,0.8798,0.7797,-3.6,0.0003,0.003,10,30,empty,15,2024-09-29 01:57:39
