model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,2,0.6124,0.752,0.4237,0.9259,0.9317,0.7958,3.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 00:28:38
esm-t33-gearnet-pretrained,2,0.6649,0.713,0.4915,0.9355,0.9086,0.8061,2.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 00:28:59
esm-t33-gearnet-pretrained,2,0.6573,0.6891,0.5254,0.8611,0.9254,0.7901,0.2,0.0003,0.003,10,30,empty,29,2024-10-01 00:29:19
esm-t33-gearnet-pretrained,3,0.3354,0.3617,0.3898,0.3651,0.8118,0.6489,-4.6,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 00:29:26
esm-t33-gearnet-pretrained,3,-0.0142,0.0484,0.0,0.0,0.4151,0.1879,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 00:29:32
esm-t33-gearnet-pretrained,3,0.0,0.0382,0.0,,0.248,0.1235,2.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 00:29:38
esm-t33-gearnet-pretrained,3,-0.0082,0.0538,0.0,0.0,0.4806,0.1328,-4.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 00:29:45
esm-t33-gearnet-pretrained,3,0.1182,0.1342,0.0339,0.5,0.6548,0.3526,2.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 00:29:51
esm-t33-gearnet-pretrained,3,-0.0142,0.045,0.0,0.0,0.3722,0.0,1.6,0.0003,0.003,2,30,empty,5,2024-10-01 00:29:58
esm-t33-gearnet-pretrained,3,0.6205,0.654,0.5593,0.7333,0.9082,0.9271,-1.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 00:30:06
esm-t33-gearnet-pretrained,3,0.4393,0.488,0.2203,0.9286,0.8469,0.8737,-0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 00:30:14
esm-t33-gearnet-pretrained,3,0.427,0.5323,0.5763,0.382,0.8523,0.632,0.4,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 00:30:22
esm-t33-gearnet-pretrained,3,-0.0082,0.0908,0.0,0.0,0.682,0.1879,-0.4,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 00:30:31
esm-t33-gearnet-pretrained,3,0.1746,0.0979,0.6441,0.1214,0.7159,0.2843,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 00:30:39
esm-t33-gearnet-pretrained,3,0.0,0.0468,0.0,,0.3944,0.1879,0.4,0.0003,0.003,3,30,empty,11,2024-10-01 00:30:47
esm-t33-gearnet-pretrained,3,0.5657,0.6261,0.5763,0.6071,0.8952,0.9117,-1.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 00:30:57
esm-t33-gearnet-pretrained,3,0.1743,0.2602,0.1525,0.2903,0.7955,0.6636,-1.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 00:31:07
esm-t33-gearnet-pretrained,3,0.4444,0.4968,0.2542,0.8333,0.8767,0.8382,0.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 00:31:16
esm-t33-gearnet-pretrained,3,0.1704,0.1638,0.2542,0.2027,0.8141,0.529,-3.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 00:31:26
esm-t33-gearnet-pretrained,3,0.4404,0.5342,0.4915,0.4603,0.9016,0.7462,-0.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 00:31:36
esm-t33-gearnet-pretrained,3,0.4528,0.491,0.339,0.6667,0.8456,0.8278,-0.4,0.0003,0.003,4,30,empty,17,2024-10-01 00:31:46
esm-t33-gearnet-pretrained,3,0.5434,0.5937,0.5763,0.5667,0.9258,0.9421,-3.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 00:31:59
esm-t33-gearnet-pretrained,3,0.5122,0.5814,0.4237,0.6757,0.9206,0.9314,-2.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 00:32:13
esm-t33-gearnet-pretrained,3,0.2729,0.5236,0.1186,0.7,0.9214,0.9393,0.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 00:32:26
esm-t33-gearnet-pretrained,3,0.566,0.6727,0.4576,0.75,0.9431,0.9406,-1.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 00:32:40
esm-t33-gearnet-pretrained,3,0.5467,0.6628,0.4746,0.6829,0.9396,0.8972,-2.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 00:32:53
esm-t33-gearnet-pretrained,3,0.5336,0.66,0.6102,0.5217,0.9394,0.9333,-1.8,0.0003,0.003,6,30,empty,23,2024-10-01 00:33:06
esm-t33-gearnet-pretrained,3,0.5177,0.6487,0.3898,0.7419,0.9321,0.9499,-0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 00:33:27
esm-t33-gearnet-pretrained,3,0.5122,0.598,0.4237,0.6757,0.9177,0.9512,-2.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 00:33:47
esm-t33-gearnet-pretrained,3,0.5926,0.6664,0.5424,0.6957,0.9333,0.9512,-2.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 00:34:08
esm-t33-gearnet-pretrained,3,0.5752,0.6685,0.4576,0.7714,0.9214,0.9499,-0.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 00:34:28
esm-t33-gearnet-pretrained,3,0.6898,0.7187,0.4915,1.0,0.9418,0.9596,0.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 00:34:49
esm-t33-gearnet-pretrained,3,0.5075,0.6482,0.3559,0.7778,0.9322,0.9406,-0.2,0.0003,0.003,10,30,empty,29,2024-10-01 00:35:10
esm-t33-gearnet-pretrained,4,0.0,0.0771,0.0,,0.4594,0.2951,-1.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 00:35:16
esm-t33-gearnet-pretrained,4,-0.0286,0.038,0.0,0.0,0.2426,0.1925,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 00:35:23
esm-t33-gearnet-pretrained,4,0.0,0.0459,0.0,,0.3876,0.0,-1.2,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 00:35:29
esm-t33-gearnet-pretrained,4,0.0,0.0419,0.0,,0.3191,0.0959,-2.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 00:35:36
