model_key,valid_fold,model_kwargs.lm_freeze_layer_count,model_kwargs.node_h_dim,model_kwargs.num_layers,model_kwargs.residual,cycle_size,hp_combination,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at,max_lr
esm-t33-gvp,2,31,"(256, 16)",3,True,20,16,0.6728,0.705,0.589,0.7972,0.9434,0.6029,0.5,2024-09-11 10:12:23,0.002
esm-t33-gvp,2,31,"(256, 16)",3,True,10,17,0.6481,0.6811,0.5757,0.7608,0.9416,0.5955,-2.9,2024-09-11 10:19:38,0.002
esm-t33-gvp,2,31,"(256, 16)",3,False,20,18,0.6772,0.701,0.6113,0.7788,0.9064,0.6017,-3.0,2024-09-11 10:33:34,0.002
esm-t33-gvp,2,31,"(256, 16)",3,False,10,19,0.6626,0.6722,0.6024,0.7589,0.9073,0.5874,-2.9,2024-09-11 10:40:47,0.002
esm-t33-gvp,2,31,"(256, 16)",4,True,20,20,0.6639,0.6707,0.5964,0.7686,0.8921,0.601,-1.9,2024-09-11 10:55:19,0.002
esm-t33-gvp,2,31,"(256, 16)",4,True,10,21,0.6811,0.7058,0.6246,0.7711,0.9338,0.5915,-2.7,2024-09-11 11:02:51,0.002
esm-t33-gvp,2,31,"(256, 16)",4,False,20,22,0.6797,0.7093,0.6217,0.7716,0.9394,0.6043,-1.3,2024-09-11 11:17:20,0.002
esm-t33-gvp,2,31,"(256, 16)",4,False,10,23,0.6695,0.6763,0.6306,0.7404,0.8821,0.5827,-3.0,2024-09-11 11:24:51,0.002
esm-t33-gvp,2,31,"(512, 16)",3,True,20,24,0.6649,0.7029,0.595,0.7726,0.9307,0.6023,-1.4,2024-09-11 11:40:15,0.002
esm-t33-gvp,2,31,"(512, 16)",3,True,10,25,0.668,0.6879,0.5964,0.7776,0.9399,0.5678,-2.9,2024-09-11 11:48:15,0.002
esm-t33-gvp,2,31,"(512, 16)",3,False,20,26,0.6719,0.6937,0.5979,0.784,0.9021,0.5893,-3.0,2024-09-11 12:03:29,0.002
esm-t33-gvp,2,31,"(512, 16)",3,False,10,27,0.6565,0.6926,0.6113,0.7357,0.9399,0.5891,-1.8,2024-09-11 12:11:22,0.002
esm-t33-gvp,2,31,"(512, 16)",4,True,20,28,0.6653,0.6776,0.6098,0.7555,0.9353,0.586,-2.9,2024-09-11 12:27:42,0.002
esm-t33-gvp,2,31,"(512, 16)",4,True,10,29,0.6628,0.6975,0.5742,0.7947,0.9437,0.5911,-2.2,2024-09-11 12:36:08,0.002
esm-t33-gvp,2,31,"(512, 16)",4,False,20,30,0.2384,0.1612,0.5178,0.1688,0.8044,0.1778,-3.0,2024-09-11 12:52:17,0.002
esm-t33-gvp,2,31,"(512, 16)",4,False,10,31,0.6654,0.6719,0.6024,0.7646,0.9339,0.5771,-3.0,2024-09-11 13:00:41,0.002
esm-t33-gvp,3,30,"(256, 16)",3,True,20,0,0.6721,0.6449,0.6157,0.7629,0.9351,0.669,-1.3,2024-09-11 13:15:04,0.002
esm-t33-gvp,3,30,"(256, 16)",3,True,10,1,0.6792,0.686,0.6588,0.7291,0.9502,0.6857,-2.0,2024-09-11 13:22:35,0.002
esm-t33-gvp,3,30,"(256, 16)",3,False,20,2,0.6808,0.6833,0.6439,0.7483,0.9326,0.693,-2.7,2024-09-11 13:37:00,0.002
esm-t33-gvp,3,30,"(256, 16)",3,False,10,3,0.6904,0.6885,0.638,0.7748,0.9212,0.6847,-1.8,2024-09-11 13:44:28,0.002
esm-t33-gvp,3,30,"(256, 16)",4,True,20,4,0.6798,0.6802,0.6246,0.7682,0.9352,0.68,-1.4,2024-09-11 13:59:23,0.002
esm-t33-gvp,3,30,"(256, 16)",4,True,10,5,0.6706,0.6867,0.6276,0.746,0.942,0.6887,-2.0,2024-09-11 14:07:08,0.002
esm-t33-gvp,3,30,"(256, 16)",4,False,20,6,0.6833,0.6828,0.6439,0.7535,0.9461,0.6893,-1.3,2024-09-11 14:22:00,0.002
esm-t33-gvp,3,30,"(256, 16)",4,False,10,7,0.6661,0.6714,0.6053,0.7626,0.9379,0.6652,-1.2,2024-09-11 14:29:43,0.002
esm-t33-gvp,3,30,"(512, 16)",3,True,20,8,0.6701,0.6748,0.6157,0.7587,0.9237,0.6833,-1.1,2024-09-11 14:45:30,0.002
esm-t33-gvp,3,30,"(512, 16)",3,True,10,9,0.6707,0.687,0.6231,0.7513,0.9431,0.6791,-2.5,2024-09-11 14:53:40,0.002
esm-t33-gvp,3,30,"(512, 16)",3,False,20,10,0.0,0.0989,0.0,,0.7288,0.0,-3.0,2024-09-11 15:09:21,0.002
esm-t33-gvp,3,30,"(512, 16)",3,False,10,11,0.6723,0.6883,0.6617,0.7125,0.9439,0.6798,-2.9,2024-09-11 15:17:30,0.002
esm-t33-gvp,3,30,"(512, 16)",4,True,20,12,0.6654,0.6967,0.6128,0.7523,0.9494,0.6739,-1.0,2024-09-11 15:34:28,0.002
esm-t33-gvp,3,30,"(512, 16)",4,True,10,13,0.6589,0.6736,0.6009,0.7528,0.9455,0.6713,-2.8,2024-09-11 15:43:15,0.002
esm-t33-gvp,3,30,"(512, 16)",4,False,20,14,0.2354,0.167,0.4095,0.1974,0.803,0.2227,-2.8,2024-09-11 15:59:59,0.002
esm-t33-gvp,3,30,"(512, 16)",4,False,10,15,0.6851,0.7044,0.6795,0.719,0.952,0.6762,-0.9,2024-09-11 16:08:36,0.002
esm-t33-gvp,3,31,"(256, 16)",3,True,20,16,0.67,0.7014,0.6098,0.7654,0.9478,0.6584,-1.4,2024-09-11 16:22:37,0.002
esm-t33-gvp,3,31,"(256, 16)",3,True,10,17,0.667,0.678,0.635,0.7304,0.943,0.6655,-3.0,2024-09-11 16:29:57,0.002
esm-t33-gvp,3,31,"(256, 16)",3,False,20,18,0.6626,0.6732,0.6024,0.7589,0.9235,0.6864,-2.6,2024-09-11 16:43:57,0.002
esm-t33-gvp,3,31,"(256, 16)",3,False,10,19,0.6501,0.6592,0.5905,0.7467,0.9345,0.672,-1.3,2024-09-11 16:51:13,0.002
esm-t33-gvp,3,31,"(256, 16)",4,True,20,20,0.6936,0.6917,0.6142,0.8102,0.9448,0.6707,-2.3,2024-09-11 17:05:47,0.002
