model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-pretrained,2,0.7076,0.7951,0.5833,0.8974,0.8982,0.8204,0.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,16,2024-10-01 15:08:48
esm-t33-pretrained,2,0.7879,0.8287,0.7167,0.8958,0.9463,0.8204,-0.2,0.0003,0.003,6,30,empty,17,2024-10-01 15:08:53
esm-t33-pretrained,2,0.7076,0.7849,0.5833,0.8974,0.886,0.8348,0.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,18,2024-10-01 15:09:02
esm-t33-pretrained,2,0.755,0.8237,0.6667,0.8889,0.9242,0.8065,0.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,19,2024-10-01 15:09:11
esm-t33-pretrained,2,0.7864,0.8093,0.7,0.913,0.9041,0.8065,-0.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,20,2024-10-01 15:09:19
esm-t33-pretrained,2,0.7192,0.8214,0.6,0.9,0.9328,0.85,0.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,21,2024-10-01 15:09:28
esm-t33-pretrained,2,0.7438,0.7955,0.65,0.8864,0.9024,0.8065,-0.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,22,2024-10-01 15:09:36
esm-t33-pretrained,2,0.7534,0.8134,0.65,0.907,0.9157,0.8184,0.6,0.0003,0.003,10,30,empty,23,2024-10-01 15:09:44
esm-t33-pretrained,3,0.757,0.8421,0.85,0.7083,0.9499,0.9091,-4.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,0,2024-10-01 15:09:49
esm-t33-pretrained,3,0.755,0.8247,0.6667,0.8889,0.9665,0.9024,-1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,1,2024-10-01 15:09:55
esm-t33-pretrained,3,0.7726,0.8262,0.7333,0.8462,0.946,0.8587,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,2,2024-10-01 15:10:00
esm-t33-pretrained,3,0.7617,0.8811,0.8667,0.7027,0.9774,0.9091,-4.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,3,2024-10-01 15:10:05
esm-t33-pretrained,3,0.7054,0.8823,0.55,0.9429,0.9653,0.868,1.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,4,2024-10-01 15:10:10
esm-t33-pretrained,3,0.7834,0.8368,0.75,0.8491,0.9736,0.9091,1.4,0.0003,0.003,3,30,empty,5,2024-10-01 15:10:14
esm-t33-pretrained,3,0.7592,0.8428,0.7,0.8571,0.9498,0.9374,-2.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,6,2024-10-01 15:10:19
esm-t33-pretrained,3,0.8405,0.8774,0.8,0.9057,0.9622,0.8829,-1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,7,2024-10-01 15:10:25
esm-t33-pretrained,3,0.5641,0.8224,0.3833,0.8846,0.9696,0.9374,-2.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,8,2024-10-01 15:10:31
esm-t33-pretrained,3,0.7986,0.8595,0.7333,0.898,0.9604,0.9091,-1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,9,2024-10-01 15:10:36
esm-t33-pretrained,3,0.7325,0.8827,0.6333,0.8837,0.9636,0.9358,0.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,10,2024-10-01 15:10:42
esm-t33-pretrained,3,0.7756,0.8942,0.6833,0.9111,0.976,0.904,-1.2,0.0003,0.003,4,30,empty,11,2024-10-01 15:10:47
esm-t33-pretrained,3,0.7726,0.8384,0.7333,0.8462,0.9474,0.904,-0.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,12,2024-10-01 15:10:53
esm-t33-pretrained,3,0.7737,0.8801,0.65,0.9512,0.9534,0.9358,-0.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,13,2024-10-01 15:11:00
esm-t33-pretrained,3,0.7515,0.881,0.6167,0.9487,0.9634,0.9358,0.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,14,2024-10-01 15:11:06
esm-t33-pretrained,3,0.7438,0.8639,0.65,0.8864,0.9602,0.9024,1.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,15,2024-10-01 15:11:13
esm-t33-pretrained,3,0.7967,0.8594,0.7833,0.8393,0.9565,0.9091,-3.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,16,2024-10-01 15:11:20
esm-t33-pretrained,3,0.7438,0.8765,0.65,0.8864,0.9532,0.904,0.8,0.0003,0.003,6,30,empty,17,2024-10-01 15:11:26
esm-t33-pretrained,3,0.7534,0.8453,0.65,0.907,0.9465,0.9024,1.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,18,2024-10-01 15:11:35
esm-t33-pretrained,3,0.7661,0.874,0.6833,0.8913,0.9601,0.904,-0.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,19,2024-10-01 15:11:44
esm-t33-pretrained,3,0.7756,0.8705,0.6833,0.9111,0.9486,0.904,-0.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,20,2024-10-01 15:11:53
esm-t33-pretrained,3,0.7739,0.8646,0.8167,0.7656,0.9739,0.9168,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,21,2024-10-01 15:12:01
esm-t33-pretrained,3,0.8302,0.8704,0.7833,0.9038,0.96,0.9091,-2.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,22,2024-10-01 15:12:11
esm-t33-pretrained,3,0.8055,0.8671,0.8333,0.8065,0.9435,0.8829,-5.0,0.0003,0.003,10,30,empty,23,2024-10-01 15:12:18
esm-t33-pretrained,4,0.8507,0.839,0.8167,0.9074,0.9388,0.8063,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,0,2024-10-01 15:12:24
esm-t33-pretrained,4,0.7661,0.8478,0.6833,0.8913,0.9664,0.8675,-0.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,1,2024-10-01 15:12:29
esm-t33-pretrained,4,0.7368,0.8366,0.6667,0.8511,0.9546,0.8299,1.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,2,2024-10-01 15:12:34
esm-t33-pretrained,4,0.7771,0.8788,0.7,0.8936,0.9722,0.8063,-2.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,3,2024-10-01 15:12:39
esm-t33-pretrained,4,0.7093,0.8673,0.6,0.878,0.9562,0.8766,-0.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,4,2024-10-01 15:12:44
esm-t33-pretrained,4,0.8338,0.8657,0.8167,0.875,0.9751,0.828,-1.0,0.0003,0.003,3,30,empty,5,2024-10-01 15:12:48
esm-t33-pretrained,4,0.6436,0.8424,0.45,0.9643,0.9535,0.7837,0.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,6,2024-10-01 15:12:54
esm-t33-pretrained,4,0.7052,0.8724,0.5333,0.9697,0.9625,0.8596,2.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,7,2024-10-01 15:12:59
esm-t33-pretrained,4,0.6694,0.8642,0.4667,1.0,0.9609,0.7818,0.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,8,2024-10-01 15:13:05
esm-t33-pretrained,4,0.7308,0.8636,0.6167,0.9024,0.9642,0.7616,-0.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,9,2024-10-01 15:13:10
esm-t33-pretrained,4,0.7172,0.8534,0.5667,0.9444,0.957,0.8299,1.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,10,2024-10-01 15:13:16
esm-t33-pretrained,4,0.718,0.8815,0.5833,0.9211,0.9682,0.8013,1.2,0.0003,0.003,4,30,empty,11,2024-10-01 15:13:20
esm-t33-pretrained,4,0.7534,0.8485,0.65,0.907,0.9541,0.7752,1.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,12,2024-10-01 15:13:27
esm-t33-pretrained,4,0.7972,0.8851,0.7167,0.9149,0.9609,0.8139,0.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,13,2024-10-01 15:13:34
esm-t33-pretrained,4,0.7192,0.851,0.6,0.9,0.9554,0.7752,2.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,14,2024-10-01 15:13:40
esm-t33-pretrained,4,0.7057,0.8582,0.5167,1.0,0.9528,0.7818,3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,15,2024-10-01 15:13:47
esm-t33-pretrained,4,0.7172,0.869,0.5667,0.9444,0.9576,0.7752,2.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,16,2024-10-01 15:13:54
esm-t33-pretrained,4,0.6563,0.8629,0.4667,0.9655,0.9489,0.7502,3.0,0.0003,0.003,6,30,empty,17,2024-10-01 15:13:59
esm-t33-pretrained,4,0.7523,0.8677,0.6333,0.9268,0.9617,0.7512,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,18,2024-10-01 15:14:08
esm-t33-pretrained,4,0.8004,0.8732,0.75,0.8824,0.9583,0.7683,1.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,19,2024-10-01 15:14:17
esm-t33-pretrained,4,0.741,0.8728,0.6167,0.925,0.9425,0.7512,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,20,2024-10-01 15:14:26
esm-t33-pretrained,4,0.6935,0.8548,0.5333,0.9412,0.9604,0.8013,2.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,21,2024-10-01 15:14:35
esm-t33-pretrained,4,0.8004,0.8492,0.75,0.8824,0.942,0.786,-1.4,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,22,2024-10-01 15:14:44
esm-t33-pretrained,4,0.7281,0.8315,0.6667,0.8333,0.9456,0.7291,0.2,0.0003,0.003,10,30,empty,23,2024-10-01 15:14:52
esm-t33-pretrained,0,0.5966,0.7247,0.45,0.8438,0.9576,0.7946,0.6,0.0003,0.003,3,30,empty,0,2024-10-02 16:41:56
esm-t33-pretrained,0,0.7596,0.8137,0.75,0.8036,0.9569,0.8595,-3.0,0.0003,0.003,4,30,empty,1,2024-10-02 16:42:00
esm-t33-pretrained,0,0.741,0.8401,0.6167,0.925,0.9576,0.9192,1.4,0.0003,0.003,6,30,empty,2,2024-10-02 16:42:06
esm-t33-pretrained,0,0.755,0.8672,0.6667,0.8889,0.9744,0.9476,1.2,0.0003,0.003,10,30,empty,3,2024-10-02 16:42:14
esm-t33-pretrained,1,0.723,0.8288,0.6333,0.8636,0.9693,0.9192,-3.6,0.0003,0.003,3,30,empty,0,2024-10-02 16:42:19
esm-t33-pretrained,1,0.8054,0.8856,0.8667,0.7761,0.9768,0.9087,-1.6,0.0003,0.003,4,30,empty,1,2024-10-02 16:42:23
esm-t33-pretrained,1,0.7592,0.8857,0.7,0.8571,0.9805,0.9057,-0.4,0.0003,0.003,6,30,empty,2,2024-10-02 16:42:29
esm-t33-pretrained,1,0.8004,0.8267,0.75,0.8824,0.9294,0.8712,-5.0,0.0003,0.003,10,30,empty,3,2024-10-02 16:42:37
esm-t33-pretrained,2,0.723,0.7674,0.6333,0.8636,0.9327,0.7237,-1.8,0.0003,0.003,3,30,empty,0,2024-10-02 16:42:42
esm-t33-pretrained,2,0.7216,0.7986,0.7667,0.7188,0.9338,0.7584,-1.2,0.0003,0.003,4,30,empty,1,2024-10-02 16:42:46
esm-t33-pretrained,2,0.7308,0.8094,0.6167,0.9024,0.9388,0.8204,0.6,0.0003,0.003,6,30,empty,2,2024-10-02 16:42:52
esm-t33-pretrained,2,0.7646,0.8169,0.6667,0.9091,0.9313,0.8065,-0.4,0.0003,0.003,10,30,empty,3,2024-10-02 16:43:00
esm-t33-pretrained,3,0.6416,0.7365,0.5333,0.8205,0.9573,0.7653,-1.6,0.0003,0.003,3,30,empty,0,2024-10-02 16:43:04
esm-t33-pretrained,3,0.7534,0.871,0.65,0.907,0.9733,0.9358,-0.2,0.0003,0.003,4,30,empty,1,2024-10-02 16:43:09
esm-t33-pretrained,3,0.7515,0.8563,0.6167,0.9487,0.9372,0.9024,0.4,0.0003,0.003,6,30,empty,2,2024-10-02 16:43:15
esm-t33-pretrained,3,0.7192,0.8369,0.6,0.9,0.9487,0.9024,0.4,0.0003,0.003,10,30,empty,3,2024-10-02 16:43:24
esm-t33-pretrained,4,0.7423,0.7878,0.7,0.8235,0.9659,0.8139,-0.2,0.0003,0.003,3,30,empty,0,2024-10-02 16:43:28
esm-t33-pretrained,4,0.6694,0.895,0.4667,1.0,0.9838,0.7837,0.6,0.0003,0.003,4,30,empty,1,2024-10-02 16:43:33
esm-t33-pretrained,4,0.7634,0.8717,0.65,0.9286,0.9736,0.7752,1.0,0.0003,0.003,6,30,empty,2,2024-10-02 16:43:38
esm-t33-pretrained,4,0.7534,0.8606,0.65,0.907,0.9557,0.7291,2.8,0.0003,0.003,10,30,empty,3,2024-10-02 16:43:46
