model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,empty
esm-t33-pretrained,0,0.5103,0.5883,0.3143,0.88,0.8823,0.725,1.6,53,2024-09-27 01:53:50,0.0001,0.007,10.0,32.0,empty,
esm-t33-pretrained,0,0.5181,0.5682,0.5143,0.5806,0.8768,0.7189,-2.0,54,2024-09-27 01:53:58,0.0001,0.01,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5948,0.5815,0.4571,0.8205,0.8872,0.7055,-1.8,55,2024-09-27 01:54:04,0.0001,0.01,4.0,30.0,empty,
esm-t33-pretrained,0,0.2759,0.5185,0.7714,0.1677,0.8704,0.6631,-4.2,56,2024-09-27 01:54:11,0.0001,0.01,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5565,0.5746,0.5,0.6731,0.8474,0.7084,-1.8,57,2024-09-27 01:54:18,0.0001,0.01,4.0,31.0,empty,
esm-t33-pretrained,0,0.3998,0.376,0.3143,0.5789,0.7652,0.6029,-1.2,58,2024-09-27 01:54:25,0.0001,0.01,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6011,0.56,0.4857,0.7907,0.7523,0.7107,-1.6,59,2024-09-27 01:54:31,0.0001,0.01,4.0,32.0,empty,
esm-t33-pretrained,0,0.592,0.4801,0.4429,0.8378,0.781,0.7205,1.4,60,2024-09-27 01:54:40,0.0001,0.01,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5481,0.5741,0.3429,0.9231,0.8731,0.7144,0.8,61,2024-09-27 01:54:49,0.0001,0.01,6.0,30.0,empty,
esm-t33-pretrained,0,0.6012,0.5943,0.4429,0.8611,0.8483,0.6866,0.4,62,2024-09-27 01:54:58,0.0001,0.01,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5684,0.5689,0.4143,0.8286,0.8955,0.7055,-0.2,63,2024-09-27 01:55:06,0.0001,0.01,6.0,31.0,empty,
esm-t33-pretrained,0,0.5054,0.502,0.3429,0.8,0.851,0.687,0.0,64,2024-09-27 01:55:14,0.0001,0.01,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4618,0.6105,0.5286,0.4684,0.8575,0.7123,-2.2,65,2024-09-27 01:55:22,0.0001,0.01,6.0,32.0,empty,
esm-t33-pretrained,0,0.5545,0.5611,0.4286,0.7692,0.8681,0.7192,-2.6,66,2024-09-27 01:55:36,0.0001,0.01,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5684,0.5745,0.4143,0.8286,0.874,0.7111,1.4,67,2024-09-27 01:55:48,0.0001,0.01,10.0,30.0,empty,
esm-t33-pretrained,0,0.5819,0.5456,0.4714,0.7674,0.772,0.7099,-1.2,68,2024-09-27 01:56:01,0.0001,0.01,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5617,0.5879,0.5143,0.6667,0.896,0.7292,-3.6,69,2024-09-27 01:56:13,0.0001,0.01,10.0,31.0,empty,
esm-t33-pretrained,0,0.5283,0.525,0.3571,0.8333,0.8485,0.7041,0.8,70,2024-09-27 01:56:25,0.0001,0.01,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5413,0.5709,0.4571,0.6957,0.8906,0.7396,-4.6,71,2024-09-27 01:56:36,0.0001,0.01,10.0,32.0,empty,
