model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,2,0.0,0.0469,0.0,,0.2715,0.0,0.8,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 04:51:18
esm-t33-gearnet-pretrained,2,0.0,0.3965,1.0,0.0721,0.8866,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 04:51:22
esm-t33-gearnet-pretrained,2,-0.0194,0.0482,0.0,0.0,0.2983,0.0,-4.4,0.0003,0.003,2,30,empty,5,2024-10-01 04:51:26
esm-t33-gearnet-pretrained,2,0.7254,0.7884,0.65,0.8478,0.9378,0.7553,0.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 04:51:32
esm-t33-gearnet-pretrained,2,0.0,0.0866,0.0,,0.5995,0.0,-4.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 04:51:37
esm-t33-gearnet-pretrained,2,0.0,0.045,0.0,,0.2435,0.0,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 04:51:43
esm-t33-gearnet-pretrained,2,0.0,0.0539,0.0,,0.3787,0.0,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 04:51:48
esm-t33-gearnet-pretrained,2,0.194,0.3529,0.9,0.1171,0.8406,0.2137,2.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 04:51:53
esm-t33-gearnet-pretrained,2,0.1161,0.3691,0.95,0.0882,0.8152,0.1311,-0.4,0.0003,0.003,3,30,empty,11,2024-10-01 04:51:59
esm-t33-gearnet-pretrained,2,0.6321,0.6797,0.4667,0.9032,0.9009,0.7489,1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 04:52:05
esm-t33-gearnet-pretrained,2,0.3292,0.6369,0.9667,0.1785,0.9218,0.3412,3.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 04:52:11
